Name,Price,StopLoss,Qty,RelVol,Type
기아,196100,182578,14,2.45,고점근접
한진칼,173000,153571,10,1.51,고점근접
에스엘,72200,65078,28,3.27,고점근접
한국금융지주우,189500,170971,10,3.14,고점근접
한국단자,79800,75405,45,1.75,고점근접
삼성SDI우,233000,211985,9,1.87,고점근접
SK우,291500,268785,8,1.51,고점근접
현대건설우,74900,68442,30,2.22,고점근접
올릭스,163500,142028,9,2.58,고점근접
한국피아이엠,106000,88907,11,1.62,신고가
메카로,27300,24749,78,2.15,고점근접
서울바이오시스,5190,4565,320,2.76,신고가
에프앤가이드,17170,14652,79,1.63,고점근접
엠에스오토텍,2990,2747,825,13.67,신고가
위더스제약,11940,10645,154,12.43,신고가
우리산업홀딩스,4665,4237,468,18.01,신고가
얼라인드,6050,5207,237,7.13,신고가
